"tweetid";"user";"date";"lang";"content"
"142569992418897922";"javiersolana";"2011-12-02 12:45:09";"es";"3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo."
"142574119152648192";"mdcospedal";"2011-12-02 13:01:33";"es";"Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas."
"142574138685526016";"DavilaGaceta";"2011-12-02 13:01:38";"es";"Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. http://t.co/gsDGB8NV"
"142579555402653696";"julia_otero";"2011-12-02 13:23:09";"es";"No se ha aprobado la ley Sinde"
"142579605327450115";"lazaroelmundo";"2011-12-02 13:23:21";"es";"se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre."
"142579874547249152";"aarbeloa17";"2011-12-02 13:24:25";"es";"¡¡Mucho ánimo hoy para ""La Armada""!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! http://t.co/WHsk2vv6"
"142579876459847680";"Juandecolmenero";"2011-12-02 13:24:26";"es";"Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:""no sabe de lo que habla, no es cierto"""
"142582871591362560";"EsperanzAguirre";"2011-12-02 13:36:20";"es";"Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos."
"142589717148479489";"patxilopez";"2011-12-02 14:03:32";"es";"En el blog: Defender la solidaridad http://t.co/8sDDYC8j"
"142593149913673728";"mariviromero";"2011-12-02 14:17:10";"es";"#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano"
"142593771790532608";"marodriguezb";"2011-12-02 14:19:39";"es";"Qué graciosos los ""laicos"" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!"
"142594023780134912";"JuanMoscosodelP";"2011-12-02 14:20:39";"es";"Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. #PSNPSOE"
"142598684511711233";"GLlamazares";"2011-12-02 14:39:10";"es";"El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria"
"142603527712280577";"mariviromero";"2011-12-02 14:58:25";"es";"El post de hoy en mi blog http://t.co/nzhcgrxn"
"142606640099762176";"mariviromero";"2011-12-02 15:10:47";"es";"Me encanta ver por aqui  a @TuDNIe ;-))"
"142608911256662016";"juanes";"2011-12-02 15:19:48";"es";"si están por Valencia España les recomiendo esta exposición !! http://t.co/hkjRpj9b"
"142610350083276800";"mariviromero";"2011-12-02 15:25:31";"es";"La gran noche de los abanderados 2.0 - La Opinión de Málaga http://t.co/yYu7uXtH"
"142624216959819776";"maria_rey";"2011-12-02 16:20:37";"es";"""@martacerame: @maria_rey Amigaaaaa!!!!!"" holaaaa guapaaaa!"
"142637480934514688";"garcia_abadillo";"2011-12-02 17:13:20";"es";"El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él"
"142658962175705090";"davidbisbal";"2011-12-02 18:38:41";"es";"firma de discos, martes, 6 de diciembre en el Cine Callao a las 18 horas http://t.co/elJGColA"
"142660083946491905";"mariviromero";"2011-12-02 18:43:09";"es";"El desempleo en EE UU baja a los niveles de marzo de 2009 http://t.co/2RKKqQFG"
"142660621131980800";"mariviromero";"2011-12-02 18:45:17";"es";"Seguimos (@ Unidad de Cuidados Paliativos Hospital Civil) [pic]: http://t.co/7bqEqfY1"
"142671399767646208";"riverakiko";"2011-12-02 19:28:07";"es";"Ya salio el sorteo de la eurocopa 2012: españa italia croacia e irlanda. A por ellos!!!!!"
"142676877553844224";"LosadaPescador";"2011-12-02 19:49:53";"es";"Granado reconoce que da los datos de paro ""con objetividad"" por estar en interinidad. ¿Y antes? @TelediarioInter 20:30"
"142681150308102146";"EvaORegan";"2011-12-02 20:06:51";"es";"Corazón partío: España e Irlanda se enfrentarán en la Eurocopa."
"142687408129982464";"sanchezcastejon";"2011-12-02 20:31:43";"es";"Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar...urge ley transparencia ya"
"142688031785226240";"AlejandroSanz";"2011-12-02 20:34:12";"es";"RT @FanClubMASes: Éstas Navidades regala solidaridad:#positivegeneration (cont) http://t.co/BksU1DZv"
"142690669536886787";"EvaORegan";"2011-12-02 20:44:41";"es";"¿Crisis de identidad? RT @LoidaLois @EvaORegan ¡¡¡Tú eres española por encima de todo!!!"
"142691468224626688";"AlejandroSanz";"2011-12-02 20:47:51";"es";"El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto. RT @karlagglez: (cont) http://t.co/Hs601N32"
"142692535503028224";"sanchezcastejon";"2011-12-02 20:52:06";"es";"Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios...la que ahora aplica sin pudor"
"142696986603302912";"pedroj_ramirez";"2011-12-02 21:09:47";"es";"Así me gusta, Mónica ""@moniromaba: @pedroj_ramirez. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo."""
"142697926290980865";"AlejandroSanz";"2011-12-02 21:13:31";"es";"Eso es amigos. RT @HombresSanzeros: @AlejandroSanz #NavidadSanzeraSolidaria Todos a comprar (cont) http://t.co/y4OUji31"
"142698835578327040";"GFVara";"2011-12-02 21:17:08";"es";"Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos."
"142700153919377408";"GFVara";"2011-12-02 21:22:22";"es";"Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento."
"142700988762038272";"sanchezcastejon";"2011-12-02 21:25:41";"es";"@GFVara la ley del embudo...característica de la derecha española. Animo"
"142712535869689857";"AlejandroSanz";"2011-12-02 22:11:34";"es";"Eso no es cierto, nos llevamos de maravilla. RT @Deyra_love_BTR: @AlejandroSanz  ¬¬ POR QE!!! (cont) http://t.co/7DyF7Sus"
"142716125346668544";"nachodoral";"2011-12-02 22:25:50";"es";"España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h @giraldatv.es http://t.co/Ns8tOZqR"
"142718656571379712";"marodriguezb";"2011-12-02 22:35:53";"es";"Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!!!"
"142736560624902144";"RodolfoIrago";"2011-12-02 23:47:02";"es";"Durante la campańa, Cospedal decía lo que oía en casa, ahora ya hace lo que oye en casa. http://t.co/caqPmxJM"
"142737411007459328";"Carlos_Latre";"2011-12-02 23:50:25";"es";"@SSantiagosegura @angyfdz @flofdez BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;)"
"142739315879976960";"AlejandroSanz";"2011-12-02 23:57:59";"es";"Para nadaaaa... Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño,RT (cont) http://t.co/NWQIgoK5"
"142746097071304704";"carmenmorodo";"2011-12-03 00:24:56";"es";"Adiós al día en el q casi ha culminado el ""destape"" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo"
"142753858559553536";"SSantiagosegura";"2011-12-03 00:55:47";"es";"Auan, apeich, agromenauer...Lucas Grijander y su progenitor... http://t.co/q957CpTB"
"142760416379015168";"SSantiagosegura";"2011-12-03 01:21:50";"es";"""La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad""W.H. Patrick"
"142862083837530112";"Ignacos";"2011-12-03 08:05:49";"es";"Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente."
"142886992848494592";"sevillajordi";"2011-12-03 09:44:48";"es";"A ver si lo entiendo: como Banco Central Europeo no puede prestar a los Gobiernos, prestará al FMI para q este, q si puede,lo haga. Europa!"
"142889010551984128";"Fgarea";"2011-12-03 09:52:49";"es";"Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización . http://t.co/zto5m1tw"
"142896028348203009";"sanchezcastejon";"2011-12-03 10:20:42";"es";"Buenos dias, que buenos eran/siguen siendo Talking Heads..."
"142906509758701569";"Carlos_Latre";"2011-12-03 11:02:21";"es";"@SSantiagosegura jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;)))) haciendo d Lady Marmalade!!!;)) jojijii"
"142907037939011584";"mariviromero";"2011-12-03 11:04:27";"es";"#malaga Plaza de la Merced   @ Plaza de la Merced http://t.co/4xScGs1a"
"142912219972247552";"javiersolana";"2011-12-03 11:25:03";"es";"Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados."
"142926609215799296";"anabelenroy_tve";"2011-12-03 12:22:13";"es";"Tranquilidad en las carreteras en el segundo día de Puente de la Constitución - http://t.co/NRk2uftQ"
"142928818708029440";"aarbeloa17";"2011-12-03 12:31:00";"es";"Gracias por la hospitalidad!!! ;-) RT @IsabelaTortlini Bienvenido DON @aarbeloa17 a mi humilde morada ;)"
"142933511345668097";"cucagamarra";"2011-12-03 12:49:40";"es";"En el Espolón, conmemorando el Día de la Discapacidad http://t.co/52olz4vl"
"142935206737887232";"mariviromero";"2011-12-03 12:56:23";"es";"Así es el belén del Ayuntamiento http://t.co/S6Ocgz6i"
"142935376787554304";"mariviromero";"2011-12-03 12:57:04";"es";"Los vándalos le arrancan de nuevo el lápiz a Picasso http://t.co/LfyNuArl"
"142936416949780481";"mariviromero";"2011-12-03 13:01:12";"es";"Esto es apoyar de verdad: La @DiputacionMLG  reducirá impuestos a 96 pueblos http://t.co/VIGtaT1k"
"142937245148651521";"cesc4official";"2011-12-03 13:04:29";"es";"Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!"
"142938216415240192";"Buenafuente";"2011-12-03 13:08:21";"es";"Que corra el Dewars!!!""@DewarsSpain: @jordievole @buenafuente @julia_otero @santi_millan gracias Jordi"""
"142938533374607360";"mariviromero";"2011-12-03 13:09:36";"es";"Detenida la jefa de una prestigiosa ONG rusa de control electoral http://t.co/leWFa7BO"
"142938884559478786";"Buenafuente";"2011-12-03 13:11:00";"es";"Porque no tenemos programa. Gracias @KimyTwitera: @Buenafuente buenafuente por q ya no dais tanta risa???¿¿¿¿???"""
"142940119492603904";"Amartinbeaumont";"2011-12-03 13:15:54";"es";"Mi artículo en ESD: ""La testarudez del consejero de Salud riojano pone a Sanz en la picota""  http://t.co/M9poedN7"
"142940880964296705";"pedroj_ramirez";"2011-12-03 13:18:56";"es";"Noelia, Noelia, Noelia...""@njimenez79:  Me parezco a @pedroj_ramirez en el manejo del iPad. A ver si empiezo a parecerme en lectores!"""
"142943592997076992";"ccifuentes";"2011-12-03 13:29:42";"es";"La vida no se mide por las veces que respiramos, sino por aquellos momentos que nos dejan sin aliento (vía @ifilosofia)"
"142947177998716928";"mariviromero";"2011-12-03 13:43:57";"es";"Sinceramente, estoy observando la zona de "" recreo"" psiquiátrica del H.Civil y es patético lo que veo http://t.co/vE8BhpJs"
"142957892537024512";"alferma1";"2011-12-03 14:26:32";"es";"Con Fina, mi mujer, amigos y el reparto de ""Iceberg"", nueva película de Gabriel Velázquez.Por Gabri no pasan los años. http://t.co/n2chJhTr"
"142966192158683136";"mariviromero";"2011-12-03 14:59:31";"es";". @diario_sur así esta la zona de ""recreo"" psiquiátrica en el Hospital Civil . Patético . Son personas http://t.co/QDcW1amA"
"142967218228035584";"GLlamazares";"2011-12-03 15:03:35";"es";"Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto."
"142975775732269056";"SSantiagosegura";"2011-12-03 15:37:36";"es";"Nada como unos rollitos de vez en cuando http://t.co/5HJJprCZ"
"142997519004213248";"javiersolana";"2011-12-03 17:03:59";"es";"Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante."
"143002689222082560";"Albert_Rivera";"2011-12-03 17:24:32";"es";"RT@FranHervias:UPyD pacta con Cascos para tener grupo.A pesar d que en 2008 decían que no era lícito este tipo d pactos http://t.co/fG5cVwM9"
"143002891786006528";"marodriguezb";"2011-12-03 17:25:20";"es";"Bueno, a ver qué hace el Madrid. Lo comentamos dentro de un rato con Edu en Radio Marca."
"143009263600664577";"mariviromero";"2011-12-03 17:50:40";"es";"Señora  @mjmonteroc mire usted el estado de la zona de "" recreo"" de psiquiatría del Hospital Civil de #malaga http://t.co/UAAABf17"
"143011211649363968";"Carlos_Latre";"2011-12-03 17:58:24";"es";"GRACIAS AMIGOS!!! YA SOMOS 200.000!!!;)"
"143011541967568896";"mariviromero";"2011-12-03 17:59:43";"es";"Ey @ivangeba que si esta aquí la Consejera de Salud @mjmonteroc"
"143012563263815681";"SSantiagosegura";"2011-12-03 18:03:46";"es";"@Carlos_Latre Twitcam, Twitcam, Twitcam, Twitcam, Twitcam, Twitcam !!!"
"143016539292041217";"PabloAIglesias";"2011-12-03 18:19:34";"es";"Ojala en España fuera igual RT @cdperiodismo: En Brasil se necesitará diploma para ejercer el periodismo http://t.co/SroI6DhX"
"143027966543278081";"mariviromero";"2011-12-03 19:04:59";"es";"Preciosa de verdad - Perdóname by Pablo Alborán, from #SoundHound http://t.co/u0CAbR3X"
"143056921610563586";"Cepeda";"2011-12-03 21:00:02";"es";"Ataque de inyección SQL masivo http://t.co/q4usPkRL"
"143062944438161409";"Buenafuente";"2011-12-03 21:23:59";"es";"Descansando 2 http://t.co/1legIDgw"
"143070052793581568";"mariviromero";"2011-12-03 21:52:14";"es";"Mira @sblanco nuestro árbol ;-)) http://t.co/gjBkxMpv"
"143108403655483392";"Buenafuente";"2011-12-04 00:24:36";"es";"Je,je!!! Eso es bueno @mkreyes80: @Buenafuente me has hecho llorar... De risa!"""
"143140299236065280";"AlejandroSanz";"2011-12-04 02:31:21";"es";"RT @Nosesiaporto: Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos!!! La teleton te necesita!!!"
"143152217447346176";"AlexdelaIglesia";"2011-12-04 03:18:42";"es";"Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil."
"143165770904510464";"paurubio";"2011-12-04 04:12:34";"es";"RT @Betolash: A ver Pau ¿cuánto es 4x4? Un jeep todo terreno maestra #MultiplicoComoPaulinaRubio ja ja ja muy bueno!"
"143239663631601666";"sevillajordi";"2011-12-04 09:06:11";"es";"Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?"
"143248510572179457";"mariviromero";"2011-12-04 09:41:21";"es";"Buenos dias y mil gracias RT @pvcmalaga: Buen día @mariviromero,mi concejala favorita."
"143256062743691264";"mariviromero";"2011-12-04 10:11:21";"es";". @JavierArenas_PP  critica que @PepeGrinan pida a @MarianoRajoy una reunión que niega a sus alcaldes  http://t.co/5oMAB1Us"
"143257242660110336";"mariviromero";"2011-12-04 10:16:02";"es";". @MarianoRajoy :  ""Salir adelante no es tarea de un Gobierno solo""  http://t.co/mJSq4fz1"
"143270558614814720";"carlosecue";"2011-12-04 11:08:58";"es";"Krugman: la austeridad está matando al euro http://t.co/CbRL2Rj8 via @el_pais"
"143281884145786880";"javiercasqueiro";"2011-12-04 11:53:57";"es";".@sgueina: ""¿quién es el tapado del PSOE? La respuesta está en mi blog http://t.co/aFKafvRL""¿Sólo ha leído dos libros?"" Era una metáfora."
"143288518163181568";"javiercasqueiro";"2011-12-04 12:20:19";"es";".@rutenca .@sgueina ""el tapado ha leido más de 2! es licenciado en historia contemporanea y master en integración europea..""Viva la ironía"
"143302306111303681";"mariviromero";"2011-12-04 13:15:06";"es";";-)) RT @cacmalaga: http://t.co/AFmBIYxK @cacmalaga #arte #cultura #pintura #museo #museums"
"143303588125474816";"DavilaGaceta";"2011-12-04 13:20:12";"es";"Rajoy quiere que España vuelva a tener relevancia en Europa http://t.co/RGhPlkBR"
"143303733898510336";"EvaORegan";"2011-12-04 13:20:47";"es";"Políticos q no responden. ""En ningún país dl mundo homologable al nstro se tolera semejante práctica"" http://t.co/7hoIl9HR via @antonlosada"
"143307115291877376";"EvaORegan";"2011-12-04 13:34:13";"es";"@EvaORegan @antonlosada Obviamente, contar que son declaraciones q no ha permitido preguntas."
"143309719174529025";"SergioRamos";"2011-12-04 13:44:34";"es";"No podía faltar, dominguito en mi tierra y final de la Davis. Con el cuñao (@carlos_muela ). http://t.co/l28AOIdR"
"143311475430260736";"zoidoalcalde";"2011-12-04 13:51:32";"es";"Palmas por sevillanas para animar a Rafa!! #sevillaciudadtalisman #copadavis"
"143314613625290752";"Edurnity";"2011-12-04 14:04:01";"es";"Recién llegada a Madrid!!por fin en casitaaa pero que frío!!No me quiero ni imaginar como hará en la sierra y mas cuando sea de noche...."
"143316804259942400";"mariviromero";"2011-12-04 14:12:43";"es";"Retazos de una primera dama http://t.co/168s72nj"
"143317693754380288";"mariviromero";"2011-12-04 14:16:15";"es";"'Chico & Rita', premio europeo a la mejor cinta de animación http://t.co/FF7giIse"
"143324562891870209";"carlosdavidgf";"2011-12-04 14:43:33";"es";"Vamos equipo!! Vamos Nadal!! Toda España esta en tu mano!! Eres el mejor y contigo todos vamos a ser Campeones!! También ELORRIO"
"143342564567810048";"nachodoral";"2011-12-04 15:55:05";"es";"Otro passing escalofriante sobre la linea pone a Nadal 5 a 1 en el tercero.La ensaladera, mas cerca.#VamosRafa #CopaDavis ole @RafaelNadal!!"
"143345387305041920";"pedroj_ramirez";"2011-12-04 16:06:18";"es";"Buen artículo de LD. Hay que arrimar el hombro. La Asociación de Ayuda a las Víctimas del 11-M, al borde del cierre http://t.co/RYYX6ksH"
"143346236257337345";"PilarGGranja";"2011-12-04 16:09:40";"es";"Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad..."
"143353252459712512";"pedroj_ramirez";"2011-12-04 16:37:33";"es";"Menudo break en blanco ha logrado DelPotro. Vamos a sufrir hasta el final. Los hinchas argentinos descentran a Rafa."
"143354376042463233";"Edurnity";"2011-12-04 16:42:01";"es";"""@BeaGarciaCHV: @Edurnity mi segundo apellido es camello! Tendré algo que ver con los reyes magos???""te doy mi carta y se la das??jajja bss!"
"143354541075726336";"Edurnity";"2011-12-04 16:42:40";"es";"""@marinitaMF: @Edurnity Ojo, que yo me apellido ""Molas"", tal cual! y no es broma.""en serio?? Como Mola!! Jajjaja"
"143354715411988480";"matrujil";"2011-12-04 16:43:22";"es";"Viaje a las embajadas catalanas del derroche - ABC.es http://t.co/sD2LV37R via @abc_es"
"143356195539927042";"marodriguezb";"2011-12-04 16:49:15";"es";"Este set lo está ganando el público argentino. Del Potro había tirado la toalla, comenzaron a cantar y van ganado. Rafa puede! #VamosRafa"
"143358081777139712";"Edurnity";"2011-12-04 16:56:44";"es";"""@Ryankuletz: Creo que @edurnity se ha puesto a responder tweets sobre apellidos por el iPhone. #cosasquenuncaentenderas :)""jaajjajajja"
"143358450691354624";"anabelenroy_tve";"2011-12-04 16:58:12";"es";"Amonestado el público argentino en La Cartuja!!!"
"143364774506405888";"JuanraLucas";"2011-12-04 17:23:20";"es";"... Y Rafa saluda a todo el equipo argentino. Qué talla de campeón!!"
"143364815681888257";"anabelenroy_tve";"2011-12-04 17:23:30";"es";"La quinta ensaladera. Nadal saludando al equipo argentino. Y ahora al público. Oe, oe, oe"
"143364900327137280";"alferma1";"2011-12-04 17:23:50";"es";"Ya esta aquí. Ya llegó por fin la quinta ensaladera. Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz."
"143365066933284864";"lazaroelmundo";"2011-12-04 17:24:30";"es";"que grande, ese abrazo de nadal con todo el equipo argentino IMPRESIONANTE. como sabe ganar este campeón!!!"
"143370650403352576";"Buenafuente";"2011-12-04 17:46:41";"es";"Grandioso Rafa Nadal!!!!!"
"143374898637709314";"alferma1";"2011-12-04 18:03:34";"es";"El público que cante gritando sin parar: ""por eso yo te quiero dar Rafa mi corazón, yo te sigo a todas partes..."" ¡Gracias por ser ESPAÑOL!"
"143375938397278208";"jmsoria";"2011-12-04 18:07:42";"es";"El camino no puede ser otro que más Europa #enmiblog"
"143384402423054336";"garcia_abadillo";"2011-12-04 18:41:20";"es";"El partido de Putin/Medveded (Rusia Unida) gana los comicios pero sufre una fuerte caía. Segundo partido más votado: Partido Comunista."
"143386588964073473";"rafam_simancas";"2011-12-04 18:50:01";"es";"Madrid ciudad sin niños, aumenta el número de personas que viven solas."
"143390430346756096";"_Rubalcaba_";"2011-12-04 19:05:17";"es";"Felicidades a @RafaelNadal y a todo el equipo español de Copa Davis. Todo un ejemplo de esfuerzo, ilusión y superación. RbCb"
"143397042977386497";"mariviromero";"2011-12-04 19:31:33";"es";"#donaundia Los 1000 primeros días cruciales para la vida del niño http://t.co/jLUjz5NK ENTRA y COLABORA ( RTs plis )"
"143403534468120578";"pedroj_ramirez";"2011-12-04 19:57:21";"es";"Estoy viendo los editoriales ""@jjesusmelian: @pedroj_ramirez cuentalo ya q estamos en el descanso"""
"143414408675196929";"pedroj_ramirez";"2011-12-04 20:40:34";"es";"Fantásticas, a cual mejor ""@MarisolCovelo. qué os parece mi foto de #elprimernaufragio ?http://t.co/ZjCzROgC http://t.co/CH3jjGX1"""
"143419382196998145";"ccifuentes";"2011-12-04 21:00:19";"es";"Fin a la impunidad en #Internet http://t.co/j7WaLdS3"
"143438321790627841";"germanyanke";"2011-12-04 22:15:35";"es";"A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi."
"143448893428998145";"mjguemes";"2011-12-04 22:57:36";"es";"""Una entrevista es un punto intermedio entre una sesión de psicoanálisis y un concurso. A veces no tengo respuestas"" Fellini"
"143452437305495552";"iescolar";"2011-12-04 23:11:40";"es";"En el blog: Lágrimas tecnócratas http://t.co/Y7K9awBr"
"143458158097076224";"alfonsomerlos";"2011-12-04 23:34:24";"es";"""Los ministros d @marianorajoy : fin de la ineptocracia"" @Semanaldigital @PPopular http://t.co/PrsX6XAN"
"143461111788867584";"iescolar";"2011-12-04 23:46:09";"es";"Portada de Público de mañana: Urdangarin SA. Dentro, la lista de las 103 entidades que pagaron a Nóos http://t.co/BP1Bfcl6"
"143569425671528449";"Carlos_Latre";"2011-12-05 06:56:33";"es";"A por @crackoviadeTV3 !!;)) buenos días queridos twiteros!!;))"
