"polarityid";"tweetid";"entity";"type";"value"
"25210";"142660083946491905";"EE_UU";"AGREEMENT";"P"
"25211";"142660621131980800";;"AGREEMENT";"NONE"
"25212";"142671399767646208";;"AGREEMENT";"NONE"
"25213";"142676877553844224";;"AGREEMENT";"N"
"25214";"142676877553844224";"Granado";"AGREEMENT";"N"
"25215";"142681150308102146";;"AGREEMENT";"N"
"25216";"142681150308102146";"Irlanda";"AGREEMENT";"N"
"25217";"142681150308102146";"España";"AGREEMENT";"N"
"25218";"142687408129982464";;"AGREEMENT";"N+"
"25219";"142687408129982464";"España";"AGREEMENT";"N+"
"25220";"142687408129982464";"Chipre";"AGREEMENT";"N+"
"25221";"142687408129982464";"Emiratos_Arabes";"AGREEMENT";"N+"
"25222";"142687408129982464";"Qatar";"AGREEMENT";"N+"
"25223";"142688031785226240";;"AGREEMENT";"P"
"25224";"142690669536886787";;"AGREEMENT";"N"
"25225";"142690669536886787";"@LoidaLois";"AGREEMENT";"N"
"25226";"142690669536886787";"@EvaORegan";"AGREEMENT";"N"
"25227";"142691468224626688";;"AGREEMENT";"P+"
"25228";"142691468224626688";"Teleton";"AGREEMENT";"P+"
"25229";"142692535503028224";;"AGREEMENT";"N"
"25230";"142692535503028224";"Cospedal";"AGREEMENT";"N"
"25231";"142696986603302912";;"AGREEMENT";"P+"
"25232";"142696986603302912";"Mónica";"AGREEMENT";"P+"
"25233";"142697926290980865";;"AGREEMENT";"NONE"
"25234";"142698835578327040";;"AGREEMENT";"P"
"25235";"142698835578327040";"PP";"AGREEMENT";"P"
"25236";"142698835578327040";"IU";"AGREEMENT";"P"
"25237";"142700153919377408";;"AGREEMENT";"N+"
"25238";"142700153919377408";"Monago";"AGREEMENT";"N+"
"25239";"142700153919377408";"IU";"AGREEMENT";"N+"
"25240";"142700988762038272";;"AGREEMENT";"N+"
"25241";"142712535869689857";;"AGREEMENT";"P+"
"25242";"142716125346668544";;"AGREEMENT";"P+"
"25243";"142716125346668544";"España";"AGREEMENT";"P+"
"25244";"142716125346668544";"Davis";"AGREEMENT";"P+"
"25245";"142716125346668544";"Sevilla";"AGREEMENT";"P+"
"25246";"142718656571379712";;"AGREEMENT";"P+"
"25247";"142718656571379712";"España";"AGREEMENT";"P+"
"25248";"142718656571379712";"Copa_Davis";"AGREEMENT";"P+"
"25249";"142736560624902144";;"AGREEMENT";"NONE"
"25250";"142737411007459328";;"AGREEMENT";"P+"
"25251";"142737411007459328";"@flofdez";"AGREEMENT";"P+"
"25252";"142737411007459328";"@angyfdz";"AGREEMENT";"P+"
"25253";"142737411007459328";"@SSantiagosegura";"AGREEMENT";"P+"
"25254";"142739315879976960";;"AGREEMENT";"P+"
"25255";"142746097071304704";;"AGREEMENT";"N"
"25256";"142753858559553536";;"AGREEMENT";"NONE"
"25257";"142760416379015168";;"AGREEMENT";"P+"
"25258";"142862083837530112";;"AGREEMENT";"N"
"25259";"142862083837530112";"Irán";"AGREEMENT";"N"
"25260";"142862083837530112";"Occidente";"AGREEMENT";"N"
"25261";"142886992848494592";;"AGREEMENT";"P"
"25262";"142886992848494592";"Banco_Central_Europeo";"AGREEMENT";"P"
"25263";"142886992848494592";"FMI";"AGREEMENT";"NEU"
"25264";"142889010551984128";;"AGREEMENT";"N"
"25265";"142896028348203009";;"AGREEMENT";"P+"
"25266";"142896028348203009";"Talking_heads";"AGREEMENT";"P+"
"25267";"142906509758701569";;"AGREEMENT";"P+"
"25268";"142906509758701569";"@SSantiagosegura";"AGREEMENT";"P+"
"25269";"142907037939011584";;"AGREEMENT";"NONE"
"25270";"142912219972247552";;"AGREEMENT";"N"
"25271";"142912219972247552";"Egipto";"AGREEMENT";"N"
"25272";"142926609215799296";;"AGREEMENT";"P+"
"25273";"142928818708029440";;"AGREEMENT";"P"
"25274";"142928818708029440";"@aarbeloa17";"AGREEMENT";"P"
"25275";"142928818708029440";"@IsabelaTortlini";"AGREEMENT";"P"
"25276";"142933511345668097";;"AGREEMENT";"P"
"25277";"142935206737887232";;"AGREEMENT";"NONE"
"25278";"142935376787554304";;"AGREEMENT";"N+"
"25279";"142936416949780481";;"AGREEMENT";"P"
"25280";"142936416949780481";"@DiputacionMLG";"AGREEMENT";"P"
"25281";"142937245148651521";;"AGREEMENT";"N"
"25282";"142938216415240192";;"AGREEMENT";"P"
"25283";"142938216415240192";"@DewarsSpain";"AGREEMENT";"P"
"25284";"142938216415240192";"@jordievole";"AGREEMENT";"P"
"25285";"142938216415240192";"@buenafuente";"AGREEMENT";"P"
"25286";"142938216415240192";"@julia_otero";"AGREEMENT";"P"
"25287";"142938216415240192";"@santi_millan";"AGREEMENT";"P"
"25288";"142938216415240192";"Jordi";"AGREEMENT";"P"
"25289";"142938533374607360";;"AGREEMENT";"P+"
"25290";"142938533374607360";"Ong";"AGREEMENT";"P+"
"25291";"142938884559478786";;"AGREEMENT";"N"
"25292";"142938884559478786";"Buenafuente";"AGREEMENT";"N"
"25293";"142940119492603904";;"AGREEMENT";"N"
"25294";"142940119492603904";"Sanz";"AGREEMENT";"N"
"25295";"142940880964296705";;"AGREEMENT";"NONE"
"25296";"142943592997076992";;"AGREEMENT";"NONE"
"25297";"142947177998716928";;"AGREEMENT";"N+"
"25298";"142947177998716928";"H.Civil";"AGREEMENT";"N+"
"25299";"142957892537024512";;"AGREEMENT";"P+"
"25300";"142957892537024512";"Gabriel_Velázquez";"AGREEMENT";"P+"
"25301";"142957892537024512";"Iceberg";"AGREEMENT";"P+"
"25302";"142966192158683136";;"AGREEMENT";"N+"
"25303";"142967218228035584";;"AGREEMENT";"N+"
"25304";"142975775732269056";;"AGREEMENT";"NONE"
"25305";"142997519004213248";;"AGREEMENT";"N"
"25306";"143002689222082560";;"DISAGREEMENT";"NEU"
"25307";"143002689222082560";"UPyD";"AGREEMENT";"P"
"25308";"143002689222082560";"Cascos";"AGREEMENT";"P"
"25309";"143002891786006528";;"AGREEMENT";"NONE"
"25310";"143009263600664577";;"AGREEMENT";"NONE"
"25311";"143011211649363968";;"AGREEMENT";"P+"
"25312";"143011541967568896";;"AGREEMENT";"NONE"
"25313";"143012563263815681";;"AGREEMENT";"NONE"
"25314";"143016539292041217";;"DISAGREEMENT";"NEU"
"25315";"143016539292041217";"Brasil";"AGREEMENT";"P"
"25316";"143016539292041217";"España";"AGREEMENT";"N"
"25317";"143027966543278081";;"AGREEMENT";"P+"
"25318";"143027966543278081";"Pablo_Alborán";"AGREEMENT";"P+"
"25319";"143056921610563586";;"AGREEMENT";"N+"
"25320";"143062944438161409";;"AGREEMENT";"NONE"
"25321";"143070052793581568";;"AGREEMENT";"P+"
"25322";"143108403655483392";;"DISAGREEMENT";"P+"
"25323";"143108403655483392";"@mkreyes";"AGREEMENT";"P+"
"25324";"143108403655483392";"Buenafuente";"AGREEMENT";"P+"
"25325";"143140299236065280";;"AGREEMENT";"P+"
"25326";"143152217447346176";;"AGREEMENT";"P+"
"25327";"143165770904510464";;"AGREEMENT";"P+"
"25328";"143165770904510464";"Pau";"AGREEMENT";"P+"
"25329";"143239663631601666";;"AGREEMENT";"N"
"25330";"143248510572179457";;"AGREEMENT";"P+"
"25331";"143248510572179457";"@mariviromero";"AGREEMENT";"P+"
"25332";"143248510572179457";"@pvcmalaga";"AGREEMENT";"P+"
"25333";"143256062743691264";;"AGREEMENT";"N"
"25334";"143256062743691264";"@JavierArenas_PP";"AGREEMENT";"N"
"25335";"143256062743691264";"@PepeGrinan";"AGREEMENT";"N"
"25336";"143256062743691264";"@MarianoRajoy";"AGREEMENT";"N"
"25337";"143257242660110336";;"AGREEMENT";"NONE"
"25338";"143270558614814720";;"AGREEMENT";"N"
"25339";"143281884145786880";;"AGREEMENT";"N"
"25340";"143281884145786880";"PSOE";"AGREEMENT";"N"
"25341";"143288518163181568";;"AGREEMENT";"NEU"
"25342";"143302306111303681";;"AGREEMENT";"P"
"25343";"143302306111303681";"@cacmalaga";"AGREEMENT";"P"
"25344";"143303588125474816";;"AGREEMENT";"P"
"25345";"143303588125474816";"Rajoy";"AGREEMENT";"P"
"25346";"143303588125474816";"España";"AGREEMENT";"P"
"25347";"143303733898510336";;"AGREEMENT";"N+"
"25348";"143307115291877376";;"AGREEMENT";"N"
"25349";"143309719174529025";;"AGREEMENT";"P"
"25350";"143311475430260736";;"AGREEMENT";"P+"
"25351";"143311475430260736";"Rafa";"AGREEMENT";"P+"
"25352";"143314613625290752";;"AGREEMENT";"NEU"
"25353";"143314613625290752";"Madrid";"AGREEMENT";"NEU"
"25354";"143316804259942400";;"AGREEMENT";"NONE"
"25355";"143317693754380288";;"AGREEMENT";"P+"
"25356";"143317693754380288";"Chico_&_Rita";"AGREEMENT";"P+"
"25357";"143324562891870209";;"AGREEMENT";"P+"
"25358";"143324562891870209";"Nadal";"AGREEMENT";"P+"
"25359";"143324562891870209";"España";"AGREEMENT";"P+"
"25360";"143324562891870209";"ELORRIO";"AGREEMENT";"P+"
"25361";"143342564567810048";;"AGREEMENT";"P+"
"25362";"143342564567810048";"Nadal";"AGREEMENT";"P+"
"25363";"143345387305041920";;"DISAGREEMENT";"NEU"
"25364";"143345387305041920";"LD";"AGREEMENT";"P"
"25365";"143345387305041920";"Asociación_de_Ayuda_a_las_Víctimas_del_11-M";"AGREEMENT";"N"
"25366";"143346236257337345";;"AGREEMENT";"P"
"25367";"143346236257337345";"TVE";"AGREEMENT";"P"
"25368";"143353252459712512";;"DISAGREEMENT";"NEU"
"25369";"143353252459712512";"DelPotro";"AGREEMENT";"P+"
"25370";"143353252459712512";"Rafa";"AGREEMENT";"N+"
"25371";"143354376042463233";;"AGREEMENT";"P+"
"25372";"143354376042463233";"@Edurnity";"AGREEMENT";"P"
"25373";"143354541075726336";;"AGREEMENT";"P+"
"25374";"143354715411988480";;"AGREEMENT";"N+"
"25375";"143356195539927042";;"AGREEMENT";"P+"
"25376";"143356195539927042";"Rafa";"AGREEMENT";"P+"
"25377";"143358081777139712";;"AGREEMENT";"P+"
"25378";"143358450691354624";;"AGREEMENT";"N"
"25379";"143358450691354624";"La_Cartuja";"AGREEMENT";"N"
"25380";"143364774506405888";;"AGREEMENT";"P+"
"25381";"143364774506405888";"Rafa";"AGREEMENT";"P+"
"25382";"143364815681888257";;"AGREEMENT";"P+"
"25383";"143364815681888257";"Nadal";"AGREEMENT";"P+"
"25384";"143364900327137280";;"AGREEMENT";"P+"
"25385";"143365066933284864";;"AGREEMENT";"P+"
"25386";"143365066933284864";"Nadal";"AGREEMENT";"P+"
"25387";"143370650403352576";;"AGREEMENT";"P+"
"25388";"143370650403352576";"Rafa_Nadal";"AGREEMENT";"P+"
"25389";"143374898637709314";;"AGREEMENT";"P+"
"25390";"143374898637709314";"Rafa";"AGREEMENT";"P+"
"25391";"143375938397278208";;"AGREEMENT";"NONE"
"25392";"143384402423054336";;"AGREEMENT";"NEU"
"25393";"143384402423054336";"Rusia_Unida";"AGREEMENT";"NEU"
"25394";"143384402423054336";"Medveded";"AGREEMENT";"NEU"
"25395";"143384402423054336";"Putin";"AGREEMENT";"NEU"
"25396";"143384402423054336";"Partido_Comunista";"AGREEMENT";"P"
"25397";"143386588964073473";;"AGREEMENT";"NONE"
"25398";"143390430346756096";;"AGREEMENT";"P+"
"25399";"143390430346756096";"@RafaelNadal";"AGREEMENT";"P+"
"25400";"143390430346756096";"Copa_Davis";"AGREEMENT";"P+"
"25401";"143397042977386497";;"AGREEMENT";"NONE"
"25402";"143403534468120578";;"AGREEMENT";"NONE"
"25403";"143414408675196929";;"AGREEMENT";"P+"
"25404";"143419382196998145";;"AGREEMENT";"P"
"25405";"143438321790627841";;"AGREEMENT";"N"
"25406";"143438321790627841";"Berlusconi";"AGREEMENT";"N"
"25407";"143448893428998145";;"AGREEMENT";"NONE"
"25408";"143452437305495552";;"AGREEMENT";"N"
"25409";"143458158097076224";;"AGREEMENT";"N"
"25410";"143461111788867584";;"AGREEMENT";"N"
"25411";"143461111788867584";"Nóos";"AGREEMENT";"N"
"25412";"143569425671528449";;"AGREEMENT";"P"
"25413";"143569425671528449";"@cracoviadeTV3";"AGREEMENT";"P"
"25414";"143580586752229377";;"AGREEMENT";"P+"
"25415";"143580586752229377";"Venezuela";"AGREEMENT";"P+"
"25416";"143582635455811586";;"AGREEMENT";"P+"
"25417";"143582635455811586";"EM";"AGREEMENT";"P+"
"25418";"143585437393485825";;"AGREEMENT";"N+"
"25419";"143585437393485825";"España";"AGREEMENT";"N+"
"25420";"143591708486148097";;"AGREEMENT";"N"
"25421";"143617992159272960";;"AGREEMENT";"N"
"25422";"143631452465143808";;"AGREEMENT";"NONE"
"25423";"143643482240720896";;"AGREEMENT";"P"
"25424";"143643482240720896";"Dani_García";"AGREEMENT";"P"
"25425";"143643991743803392";;"AGREEMENT";"NONE"
"25426";"143645176269783040";;"AGREEMENT";"N"
"25427";"143655052446404608";;"AGREEMENT";"NONE"
"25428";"143679075666493441";;"AGREEMENT";"NONE"
"25429";"143689395797626881";;"AGREEMENT";"N"
"25430";"143689395797626881";"UpyD";"AGREEMENT";"N"
"25431";"143689395797626881";"Amaiur";"AGREEMENT";"N"
"25432";"143696388260237312";;"AGREEMENT";"NEU"
"25433";"143703943103528960";;"AGREEMENT";"NONE"
"25434";"143710718833852416";;"AGREEMENT";"N+"
"25435";"143712322496630784";;"DISAGREEMENT";"NEU"
"25436";"143713822115504128";;"AGREEMENT";"P+"
"25437";"143713822115504128";"Alfonso_XII";"AGREEMENT";"P+"
"25438";"143716894099259392";;"AGREEMENT";"P"
"25439";"143727355997851648";;"AGREEMENT";"N"
"25440";"143727355997851648";"@ppandaluz";"AGREEMENT";"N"
"25441";"143727355997851648";"FAMP";"AGREEMENT";"N"
"25442";"143731999457292288";;"AGREEMENT";"N"
"25443";"143731999457292288";"España";"AGREEMENT";"N"
"25444";"143737549490372608";;"DISAGREEMENT";"N"
"25445";"143741539598860288";;"AGREEMENT";"P"
"25446";"143741539598860288";"@Tonicanto1";"AGREEMENT";"N"
"25447";"143741539598860288";"@Padrinomc";"AGREEMENT";"P"
"25448";"143750000407625728";;"AGREEMENT";"NONE"
"25449";"143760004057542657";;"AGREEMENT";"NEU"
"25450";"143760004057542657";"CNN";"AGREEMENT";"NEU"
"25451";"143760004057542657";"Skype";"AGREEMENT";"P+"
"25452";"143764315495862272";;"AGREEMENT";"N"
"25453";"143764315495862272";"Tinduf";"AGREEMENT";"N"
"25454";"143767817613885440";;"AGREEMENT";"NONE"
"25455";"143770811671646208";;"AGREEMENT";"NONE"
"25456";"143783103729631232";;"AGREEMENT";"P+"
"25457";"143783103729631232";"España";"AGREEMENT";"P+"
"25458";"143793465787039744";;"AGREEMENT";"NONE"
"25459";"143798628799102977";;"AGREEMENT";"P"
"25460";"143800453224861696";;"AGREEMENT";"P+"
"25461";"143800453224861696";"@mariviromero";"AGREEMENT";"P+"
"25462";"143800453224861696";"@CarlosSerrato82";"AGREEMENT";"P+"
"25463";"143801624400363520";;"AGREEMENT";"N+"
"25464";"143801624400363520";"España";"AGREEMENT";"N+"
"25465";"143801990751858688";;"AGREEMENT";"P"
"25466";"143808378119004160";;"AGREEMENT";"P+"
"25467";"143810044188823552";;"AGREEMENT";"P+"
"25468";"143810044188823552";"@Pepemaras";"AGREEMENT";"P+"
"25469";"143810044188823552";"@mariviromero";"AGREEMENT";"P+"
"25470";"143814203675906048";;"AGREEMENT";"P+"
"25471";"143814203675906048";"Paco";"AGREEMENT";"P+"
"25472";"143814203675906048";"pacorengel";"AGREEMENT";"P+"
"25473";"143814203675906048";"mariviromero";"AGREEMENT";"P+"
"25474";"143815421844398080";;"AGREEMENT";"P+"
"25475";"143815421844398080";"@ejoana";"AGREEMENT";"P+"
"25476";"143815421844398080";"@virginiapalonso";"AGREEMENT";"P+"
"25477";"143818232397185024";;"AGREEMENT";"N"
"25478";"143818232397185024";"Europa";"AGREEMENT";"N"
"25479";"143818232397185024";"España";"AGREEMENT";"N"
"25480";"143822866931130368";;"AGREEMENT";"P+"
"25481";"143822866931130368";"@enpiedeguerra";"AGREEMENT";"P+"
"25482";"143822866931130368";"@chiquiesteban";"AGREEMENT";"P"
"25483";"143837923459084288";;"AGREEMENT";"N"
"25484";"143846069267214337";;"AGREEMENT";"P+"
"25485";"143848339530723328";;"AGREEMENT";"P"
"25486";"143848339530723328";"Ryszard";"AGREEMENT";"P"
"25487";"143848339530723328";"Un_día_más_con_vida";"AGREEMENT";"P"
"25488";"143853705484177411";;"AGREEMENT";"NONE"
"25489";"143885981412630529";;"AGREEMENT";"P+"
"25490";"143891342517481472";;"AGREEMENT";"NONE"
"25491";"143952582036037632";;"AGREEMENT";"P"
"25492";"143952582036037632";"Bono";"AGREEMENT";"P"
"25493";"143954158037385217";;"AGREEMENT";"N"
"25494";"143977788825808896";;"AGREEMENT";"N"
"25495";"143977788825808896";"Carlos_García";"AGREEMENT";"N"
"25496";"143981851952955392";;"AGREEMENT";"N"
"25497";"143981851952955392";"PP";"AGREEMENT";"N"
"25498";"143983266272247808";;"AGREEMENT";"N+"
"25499";"143983266272247808";"Rajoy";"AGREEMENT";"N+"
"25500";"143983384643911680";;"AGREEMENT";"N+"
"25501";"143986601884778496";;"AGREEMENT";"NONE"
"25502";"143987608870060032";;"AGREEMENT";"P"
"25503";"143990880381059072";;"DISAGREEMENT";"NEU"
"25504";"143990880381059072";"Concepcion_Jerónima";"AGREEMENT";"N+"
"25505";"143992574116499456";;"AGREEMENT";"N"
"25506";"143995497928073216";;"AGREEMENT";"N+"
"25507";"143995497928073216";"Monti";"AGREEMENT";"N+"
"25508";"144001153846353920";;"AGREEMENT";"NONE"
"25509";"144001369534238720";;"AGREEMENT";"NONE"
"25510";"144005115106439169";;"AGREEMENT";"P+"
"25511";"144005115106439169";"Chacón";"AGREEMENT";"P+"
"25512";"144011410857410561";;"AGREEMENT";"P"
"25513";"144012076824793089";;"AGREEMENT";"NONE"
"25514";"144013467798614016";;"AGREEMENT";"P+"
"25515";"144014285130043392";;"AGREEMENT";"P"
"25516";"144014285130043392";"ZP";"AGREEMENT";"P"
"25517";"144014285130043392";"España";"AGREEMENT";"N+"
"25518";"144014285130043392";"Rajoy";"AGREEMENT";"P+"
"25519";"144016948617949185";;"AGREEMENT";"P+"
"25520";"144016948617949185";"Gallardón";"AGREEMENT";"P+"
"25521";"144016948617949185";"Zapatero";"AGREEMENT";"P+"
"25522";"144016948617949185";"Guerra";"AGREEMENT";"P+"
"25523";"144016948617949185";"Alonso";"AGREEMENT";"P+"
"25524";"144016948617949185";"Pepiño";"AGREEMENT";"P+"
"25525";"144028652869402624";;"AGREEMENT";"NONE"
"25526";"144033191601246208";;"AGREEMENT";"N"
"25527";"144033191601246208";"ZP";"AGREEMENT";"N"
"25528";"144033311872925696";;"AGREEMENT";"N"
"25529";"144033311872925696";"Rajoy";"AGREEMENT";"NEU"
"25530";"144037972180865024";;"AGREEMENT";"NEU"
"25531";"144037972180865024";"Rajoy";"AGREEMENT";"NEU"
"25532";"144037993211105280";;"AGREEMENT";"P+"
"25533";"144038375844888576";;"AGREEMENT";"N"
"25534";"144038375844888576";"Cataluña";"AGREEMENT";"N"
"25535";"144039496021843968";;"AGREEMENT";"NONE"
"25536";"144046760757690369";;"AGREEMENT";"P"
"25537";"144046760757690369";"Euskadi";"AGREEMENT";"N"
"25538";"144059183950606337";;"AGREEMENT";"P+"
"25539";"144063766248685568";;"AGREEMENT";"NONE"
"25540";"144071155320487936";;"AGREEMENT";"N+"
"25541";"144071155320487936";"Griñán";"AGREEMENT";"N+"
"25542";"144075611776884736";;"AGREEMENT";"P+"
"25543";"144075611776884736";"@RodolfoTesone";"AGREEMENT";"P+"
"25544";"144078704937680897";;"AGREEMENT";"NONE"
"25545";"144080307262472192";;"DISAGREEMENT";"NEU"
"25546";"144094237338767363";;"AGREEMENT";"N"
"25547";"144094237338767363";"11-M";"AGREEMENT";"N"
"25548";"144106014541758464";;"AGREEMENT";"NONE"
"25549";"144121476843438080";;"AGREEMENT";"P"
"25550";"144130433943220225";;"AGREEMENT";"P+"
"25551";"144130433943220225";"Museo_de_la_Cueva";"AGREEMENT";"P+"
"25552";"144130433943220225";"Nerja";"AGREEMENT";"P+"
"25553";"144148268484542465";;"AGREEMENT";"NONE"
"25554";"144158414216503297";;"AGREEMENT";"N+"
"25555";"144158414216503297";"Honduras";"AGREEMENT";"N+"
"25556";"144160529227849728";;"AGREEMENT";"P"
"25557";"144160529227849728";"@lucia_miguel";"AGREEMENT";"P"
"25558";"144161681256353792";;"AGREEMENT";"P+"
"25559";"144161681256353792";"@antoniocamunas";"AGREEMENT";"P+"
"25560";"144171370861961216";;"AGREEMENT";"P"
"25561";"144171370861961216";"Rajoy";"AGREEMENT";"P+"
"25562";"144171370861961216";"Zapatero";"AGREEMENT";"P+"
"25563";"144174878495473664";;"AGREEMENT";"P+"
"25564";"144174878495473664";"Sarkozy";"AGREEMENT";"P+"
"25565";"144174878495473664";"Merkel";"AGREEMENT";"P+"
"25566";"144174878495473664";"Rajoy";"AGREEMENT";"P+"
"25567";"144183328688443392";;"AGREEMENT";"N"
"25568";"144183328688443392";"Sr._Mas";"AGREEMENT";"N"
"25569";"144199308588228609";;"AGREEMENT";"NONE"
"25570";"144292454085046272";;"AGREEMENT";"N+"
"25571";"144304744582754305";;"AGREEMENT";"NONE"
"25572";"144317421958856704";;"AGREEMENT";"NONE"
"25573";"144326923579953152";;"AGREEMENT";"N"
"25574";"144326923579953152";"Estado_del_Bienestar";"AGREEMENT";"N"
"25575";"144329784279826434";;"AGREEMENT";"P"
"25576";"144329784279826434";"J-70";"AGREEMENT";"NEU"
"25577";"144329784279826434";"Bermudez";"AGREEMENT";"NEU"
"25578";"144329784279826434";"Zougam";"AGREEMENT";"P"
