"topicid";"tweetid";"topic"
"19202";"142660621131980800";"otros"
"19203";"142671399767646208";"fútbol"
"19205";"142676877553844224";"política"
"19204";"142676877553844224";"economía"
"19206";"142681150308102146";"fútbol"
"19207";"142687408129982464";"política"
"19208";"142688031785226240";"música"
"19209";"142690669536886787";"entretenimiento"
"19211";"142691468224626688";"otros"
"19210";"142691468224626688";"música"
"19212";"142692535503028224";"economía"
"19213";"142692535503028224";"política"
"19214";"142696986603302912";"entretenimiento"
"19215";"142697926290980865";"música"
"19216";"142697926290980865";"otros"
"19217";"142698835578327040";"política"
"19218";"142700153919377408";"política"
"19219";"142700988762038272";"política"
"19220";"142712535869689857";"música"
"19221";"142716125346668544";"deportes"
"19222";"142718656571379712";"deportes"
"19223";"142736560624902144";"política"
"19225";"142737411007459328";"otros"
"19224";"142737411007459328";"entretenimiento"
"19226";"142739315879976960";"música"
"19227";"142746097071304704";"política"
"19228";"142753858559553536";"entretenimiento"
"19229";"142760416379015168";"otros"
"19230";"142760416379015168";"entretenimiento"
"19231";"142862083837530112";"política"
"19232";"142886992848494592";"economía"
"19233";"142889010551984128";"política"
"19234";"142889010551984128";"economía"
"19235";"142896028348203009";"música"
"19236";"142906509758701569";"entretenimiento"
"19237";"142907037939011584";"otros"
"19238";"142912219972247552";"política"
"19239";"142926609215799296";"otros"
"19240";"142928818708029440";"otros"
"19241";"142928818708029440";"fútbol"
"19242";"142933511345668097";"otros"
"19243";"142935206737887232";"otros"
"19244";"142935376787554304";"otros"
"19246";"142936416949780481";"política"
"19245";"142936416949780481";"economía"
"19247";"142937245148651521";"fútbol"
"19248";"142938216415240192";"entretenimiento"
"19249";"142938533374607360";"política"
"19250";"142938884559478786";"entretenimiento"
"19251";"142940119492603904";"política"
"19253";"142940880964296705";"tecnología"
"19252";"142940880964296705";"entretenimiento"
"19254";"142943592997076992";"otros"
"19255";"142947177998716928";"otros"
"19256";"142957892537024512";"cine"
"19257";"142966192158683136";"otros"
"19259";"142967218228035584";"economía"
"19258";"142967218228035584";"política"
"19260";"142975775732269056";"otros"
"19261";"142975775732269056";"entretenimiento"
"19262";"142997519004213248";"política"
"19263";"143002689222082560";"política"
"19264";"143002891786006528";"entretenimiento"
"19265";"143002891786006528";"fútbol"
"19266";"143009263600664577";"otros"
"19267";"143011211649363968";"entretenimiento"
"19268";"143011211649363968";"otros"
"19269";"143011541967568896";"política"
"19270";"143012563263815681";"entretenimiento"
"19271";"143016539292041217";"entretenimiento"
"19272";"143027966543278081";"música"
"19273";"143056921610563586";"tecnología"
"19274";"143062944438161409";"entretenimiento"
"19275";"143070052793581568";"otros"
"19276";"143108403655483392";"entretenimiento"
"19277";"143140299236065280";"otros"
"19278";"143140299236065280";"música"
"19280";"143152217447346176";"cine"
"19279";"143152217447346176";"otros"
"19281";"143165770904510464";"música"
"19282";"143239663631601666";"economía"
"19283";"143239663631601666";"entretenimiento"
"19284";"143248510572179457";"política"
"19285";"143256062743691264";"política"
"19286";"143257242660110336";"política"
"19287";"143270558614814720";"economía"
"19288";"143281884145786880";"política"
"19289";"143281884145786880";"literatura"
"19290";"143288518163181568";"política"
"19291";"143302306111303681";"otros"
"19292";"143303588125474816";"política"
"19293";"143303733898510336";"política"
"19294";"143307115291877376";"otros"
"19295";"143309719174529025";"fútbol"
"19296";"143309719174529025";"deportes"
"19297";"143311475430260736";"deportes"
"19298";"143314613625290752";"otros"
"19299";"143316804259942400";"política"
"19300";"143317693754380288";"cine"
"19301";"143324562891870209";"deportes"
"19302";"143342564567810048";"deportes"
"19303";"143345387305041920";"entretenimiento"
"19304";"143346236257337345";"entretenimiento"
"19305";"143353252459712512";"deportes"
"19306";"143353252459712512";"entretenimiento"
"19307";"143354376042463233";"otros"
"19308";"143354541075726336";"otros"
"19309";"143354715411988480";"economía"
"19310";"143356195539927042";"deportes"
"19311";"143358081777139712";"otros"
"19312";"143358450691354624";"deportes"
"19313";"143364774506405888";"deportes"
"19314";"143364815681888257";"deportes"
"19315";"143364900327137280";"deportes"
"19316";"143365066933284864";"deportes"
"19317";"143370650403352576";"deportes"
"19318";"143370650403352576";"entretenimiento"
"19319";"143374898637709314";"deportes"
"19320";"143375938397278208";"otros"
"19321";"143384402423054336";"política"
"19322";"143386588964073473";"otros"
"19323";"143390430346756096";"deportes"
"19324";"143397042977386497";"otros"
"19325";"143403534468120578";"entretenimiento"
"19326";"143414408675196929";"entretenimiento"
"19327";"143419382196998145";"tecnología"
"19328";"143438321790627841";"política"
"19329";"143448893428998145";"otros"
"19330";"143452437305495552";"otros"
"19331";"143458158097076224";"política"
"19332";"143461111788867584";"economía"
"19333";"143569425671528449";"entretenimiento"
"19334";"143569425671528449";"otros"
"19335";"143580586752229377";"otros"
"19336";"143582635455811586";"entretenimiento"
"19337";"143585437393485825";"economía"
"19338";"143591708486148097";"política"
"19339";"143617992159272960";"otros"
"19340";"143631452465143808";"política"
"19341";"143643482240720896";"literatura"
"19342";"143643991743803392";"otros"
"19343";"143645176269783040";"política"
"19344";"143655052446404608";"política"
"19345";"143679075666493441";"música"
"19346";"143689395797626881";"política"
"19347";"143696388260237312";"economía"
"19348";"143696388260237312";"política"
"19349";"143703943103528960";"música"
"19350";"143710718833852416";"otros"
"19351";"143712322496630784";"economía"
"19352";"143713822115504128";"otros"
"19353";"143716894099259392";"entretenimiento"
"19354";"143727355997851648";"política"
"19355";"143731999457292288";"economía"
"19356";"143737549490372608";"música"
"19357";"143741539598860288";"música"
"19358";"143750000407625728";"política"
"19359";"143760004057542657";"entretenimiento"
"19360";"143760004057542657";"tecnología"
"19361";"143764315495862272";"otros"
"19362";"143767817613885440";"política"
"19363";"143770811671646208";"política"
"19364";"143783103729631232";"otros"
"19365";"143793465787039744";"política"
"19366";"143798628799102977";"entretenimiento"
"19367";"143800453224861696";"entretenimiento"
"19368";"143801624400363520";"economía"
"19369";"143801990751858688";"entretenimiento"
"19370";"143808378119004160";"música"
"19371";"143810044188823552";"entretenimiento"
"19372";"143810044188823552";"tecnología"
"19373";"143814203675906048";"otros"
"19374";"143815421844398080";"otros"
"19375";"143818232397185024";"economía"
"19376";"143818232397185024";"política"
"19377";"143822866931130368";"cine"
"19378";"143837923459084288";"otros"
"19379";"143837923459084288";"cine"
"19380";"143846069267214337";"otros"
"19381";"143848339530723328";"literatura"
"19382";"143853705484177411";"cine"
"19383";"143885981412630529";"música"
"19384";"143891342517481472";"música"
"19385";"143952582036037632";"política"
"19386";"143952582036037632";"entretenimiento"
"19387";"143954158037385217";"política"
"19388";"143977788825808896";"política"
"19389";"143981851952955392";"política"
"19390";"143981851952955392";"economía"
"19392";"143983266272247808";"economía"
"19391";"143983266272247808";"política"
"19393";"143983384643911680";"política"
"19394";"143986601884778496";"tecnología"
"19395";"143986601884778496";"cine"
"19396";"143987608870060032";"entretenimiento"
"19397";"143987608870060032";"otros"
"19399";"143990880381059072";"política"
"19398";"143990880381059072";"economía"
"19400";"143992574116499456";"economía"
"19401";"143992574116499456";"política"
"19402";"143995497928073216";"política"
"19403";"143995497928073216";"economía"
"19405";"144001153846353920";"otros"
"19404";"144001153846353920";"tecnología"
"19406";"144001369534238720";"entretenimiento"
"19407";"144001369534238720";"política"
"19408";"144005115106439169";"política"
"19409";"144011410857410561";"política"
"19410";"144011410857410561";"economía"
"19411";"144012076824793089";"política"
"19412";"144013467798614016";"política"
"19413";"144014285130043392";"política"
"19414";"144016948617949185";"política"
"19415";"144016948617949185";"entretenimiento"
"19416";"144028652869402624";"política"
"19417";"144033191601246208";"política"
"19418";"144033311872925696";"política"
"19419";"144037972180865024";"política"
"19420";"144037993211105280";"política"
"19421";"144038375844888576";"política"
"19422";"144039496021843968";"economía"
"19423";"144046760757690369";"política"
"19424";"144059183950606337";"otros"
"19425";"144063766248685568";"otros"
"19426";"144071155320487936";"economía"
"19427";"144075611776884736";"otros"
"19428";"144078704937680897";"otros"
"19429";"144080307262472192";"otros"
"19430";"144094237338767363";"entretenimiento"
"19431";"144106014541758464";"política"
"19432";"144106014541758464";"fútbol"
"19434";"144121476843438080";"cine"
"19433";"144121476843438080";"entretenimiento"
"19435";"144130433943220225";"otros"
"19436";"144148268484542465";"política"
"19437";"144158414216503297";"entretenimiento"
"19438";"144158414216503297";"otros"
"19440";"144160529227849728";"entretenimiento"
"19439";"144160529227849728";"otros"
"19441";"144161681256353792";"otros"
"19442";"144171370861961216";"política"
"19443";"144174878495473664";"política"
"19444";"144183328688443392";"política"
"19446";"144199308588228609";"entretenimiento"
"19445";"144199308588228609";"política"
"19447";"144292454085046272";"política"
"19448";"144304744582754305";"otros"
"19449";"144304744582754305";"entretenimiento"
"19450";"144317421958856704";"política"
"19451";"144326923579953152";"economía"
"19453";"144329784279826434";"otros"
"19452";"144329784279826434";"entretenimiento"
"19454";"144343897643032576";"otros"
"19455";"144348610153287680";"política"
"19456";"144354084403691521";"política"
"19457";"144354084403691521";"economía"
"19458";"144357274918457344";"otros"
"19459";"144368124202987520";"otros"
"19460";"144383613956390913";"política"
"19461";"144396048767533056";"otros"
"19462";"144397913404084224";"entretenimiento"
"19463";"144405623747002369";"entretenimiento"
"19464";"144411739402936320";"entretenimiento"
"19465";"144411865873788928";"entretenimiento"
"19466";"144455156124229632";"política"
"19467";"144461920496390144";"política"
"19468";"144466101076627457";"fútbol"
"19469";"144470614957240321";"economía"
"19470";"144490077748338689";"política"
"19471";"144490077748338689";"literatura"
"19472";"144493971568205825";"otros"
"19473";"144494149582852096";"economía"
"19474";"144494768586633216";"economía"
"19475";"144495624459526144";"economía"
"19476";"144495966802817024";"otros"
"19477";"144495990701953024";"otros"
"19478";"144500360537575424";"entretenimiento"
"19479";"144500360537575424";"otros"
"19480";"144523015403741184";"economía"
"19483";"144531366170730497";"política"
"19482";"144531366170730497";"economía"
"19481";"144531366170730497";"entretenimiento"
"19484";"144531694987382785";"entretenimiento"
"19485";"144532188409499649";"política"
"19486";"144541808028958720";"otros"
"19487";"144548231446147072";"política"
"19488";"144550919198093312";"política"
"19489";"144565001825423361";"entretenimiento"
"19490";"144569909064638464";"fútbol"
"19491";"144572125414559745";"otros"
"19492";"144580059209007104";"otros"
"19493";"144607617774399489";"otros"
"19494";"144607617774399489";"cine"
"19495";"144678829435265024";"música"
"19496";"144679980369051648";"economía"
"19497";"144706689092956160";"otros"
"19498";"144708325005725697";"deportes"
"19499";"144708800304263168";"política"
"19500";"144724809060851712";"economía"
"19501";"144725240075915264";"entretenimiento"
"19502";"144732541713252352";"otros"
"19503";"144736008284540928";"política"
"19504";"144755214837219328";"otros"
"19505";"144778071776571393";"música"
"19506";"144778141783699456";"entretenimiento"
"19507";"144778141783699456";"otros"
"19509";"144784098899144704";"otros"
"19508";"144784098899144704";"entretenimiento"
"19510";"144799032731115521";"política"
"19511";"144799223370625024";"economía"
"19512";"144811951107743744";"política"
"19513";"144816946720944128";"política"
"19514";"144816946720944128";"economía"
"19516";"144819507289001984";"tecnología"
"19515";"144819507289001984";"deportes"
"19517";"144833381002256384";"economía"
"19518";"144836460032430081";"otros"
"19519";"144840003577577473";"otros"
"19520";"144845296533389312";"política"
"19521";"144845296533389312";"economía"
"19523";"144847518428172288";"política"
"19522";"144847518428172288";"economía"
"19524";"144848707429474305";"economía"
"19525";"144848707429474305";"política"
"19526";"144849200843198464";"política"
"19527";"144849200843198464";"economía"
"19528";"144854843574587392";"economía"
"19529";"144863074585812992";"otros"
"19530";"144868690079399936";"entretenimiento"
"19531";"144884537749544962";"otros"
"19532";"144884537749544962";"entretenimiento"
"19533";"144892101849661441";"entretenimiento"
"19534";"144892101849661441";"literatura"
"19536";"144896236451930113";"otros"
"19535";"144896236451930113";"entretenimiento"
"19537";"144897237120593921";"otros"
"19538";"144909824897986560";"política"
"19539";"144917140556877824";"otros"
"19540";"144927552539078658";"política"
"19541";"144948035821109249";"música"
"19542";"144961656391335936";"deportes"
"19543";"145027082857099265";"economía"
"19544";"145029137952808960";"economía"
"19545";"145031105102356480";"economía"
"19546";"145031105102356480";"política"
"19547";"145032814654533632";"entretenimiento"
"19548";"145032814654533632";"economía"
"19550";"145033308152135680";"política"
"19549";"145033308152135680";"entretenimiento"
"19551";"145037601936650240";"entretenimiento"
"19552";"145037724380958720";"entretenimiento"
"19553";"145051053728088064";"política"
"19554";"145056350261608448";"otros"
"19555";"145056350261608448";"entretenimiento"
"19557";"145058995470737408";"cine"
"19556";"145058995470737408";"otros"
"19558";"145065354186596352";"política"
"19559";"145067494883852289";"otros"
"19560";"145072583040172032";"entretenimiento"
"19561";"145078168297017344";"política"
"19562";"145082451880968192";"política"
"19563";"145086208761008128";"otros"
"19564";"145093081182646272";"otros"
"19565";"145102316004061184";"otros"
"19566";"145103718650609664";"política"
"19567";"145104667049861120";"otros"
"19568";"145111513559089153";"política"
"19570";"145117960888004609";"otros"
"19569";"145117960888004609";"entretenimiento"
"19571";"145135542424702976";"política"
"19572";"145136753240584192";"entretenimiento"
"19573";"145141091849605120";"política"
"19574";"145141091849605120";"economía"
"19575";"145160906102411264";"entretenimiento"
"19576";"145170188441096192";"otros"
"19577";"145174157112512512";"política"
"19578";"145189215175577600";"otros"
"19579";"145211870335336448";"otros"
"19580";"145226774853328896";"fútbol"
"19581";"145226774853328896";"entretenimiento"
"19582";"145237361066917888";"otros"
"19583";"145237361066917888";"entretenimiento"
"19585";"145242329618464769";"economía"
"19584";"145242329618464769";"política"
"19586";"145244574183473154";"otros"
"19587";"145247850694062080";"otros"
"19588";"145251507070189568";"otros"
"19589";"145251645398323200";"política"
"19590";"145251645398323200";"tecnología"
"19591";"145260159411818498";"economía"
"19593";"145271322027638784";"fútbol"
"19592";"145271322027638784";"música"
"19594";"145278339907723264";"otros"
"19595";"145296517312425984";"literatura"
"19596";"145411263646801920";"otros"
"19597";"145411263646801920";"entretenimiento"
"19598";"145416970811084800";"entretenimiento"
"19600";"145418106070773760";"entretenimiento"
"19599";"145418106070773760";"fútbol"
"19601";"145428515150512128";"otros"
"19602";"145428515150512128";"entretenimiento"
"19603";"145431570843578368";"entretenimiento"
"19604";"145431570843578368";"tecnología"
"19607";"145435933578235904";"política"
"19606";"145435933578235904";"economía"
"19605";"145435933578235904";"entretenimiento"
"19608";"145439694476414976";"música"
"19609";"145439694476414976";"otros"
"19610";"145443653303808000";"política"
"19611";"145443949165809664";"economía"
"19612";"145443949165809664";"política"
"19613";"145459349547003904";"tecnología"
"19614";"145464552199421952";"tecnología"
"19615";"145465139880136705";"otros"
"19616";"145470762625667072";"otros"
"19617";"145475569826537472";"otros"
"19618";"145480603125547009";"otros"
"19620";"145483077156749312";"música"
"19619";"145483077156749312";"entretenimiento"
"19621";"145496621935894529";"entretenimiento"
"19622";"145497668288909312";"otros"
"19623";"145517960285519872";"política"
"19624";"145524013270179840";"fútbol"
"19625";"145524013270179840";"otros"
"19626";"145537833761906688";"música"
"19627";"145550937954590720";"música"
"19628";"145560519623974912";"otros"
"19629";"145565168619888640";"deportes"
"19630";"145565168619888640";"entretenimiento"
"19631";"145565289151610880";"deportes"
"19632";"145565289151610880";"fútbol"
"19633";"145566336301539328";"fútbol"
"19634";"145571042331602944";"economía"
"19635";"145571042331602944";"política"
"19636";"145583999803330560";"fútbol"
"19637";"145592684529205248";"entretenimiento"
"19638";"145600074309840896";"fútbol"
"19639";"145604570964430848";"entretenimiento"
"19640";"145604570964430848";"otros"
"19641";"145606175587713024";"fútbol"
"19642";"145610061820076032";"cine"
"19643";"145613925973630977";"otros"
"19644";"145621830265348096";"otros"
"19645";"145626918073536512";"otros"
"19646";"145637380974575616";"otros"
"19648";"145637490928267264";"fútbol"
"19647";"145637490928267264";"entretenimiento"
"19649";"145640364596936706";"otros"
"19650";"145640638543691776";"fútbol"
"19651";"145640638543691776";"entretenimiento"
"19652";"145642569945190400";"música"
"19653";"145642569945190400";"entretenimiento"
"19654";"145670701796429825";"fútbol"
"19656";"145705333157937153";"otros"
"19655";"145705333157937153";"música"
"19657";"145769140198715392";"música"
"19658";"145769140198715392";"otros"
"19659";"145769828433670145";"música"
"19660";"145769828433670145";"otros"
"19662";"145789235553767425";"otros"
"19661";"145789235553767425";"entretenimiento"
"19663";"145792989371965440";"política"
"19664";"145799970765807616";"entretenimiento"
"19665";"145805452553359360";"literatura"
"19666";"145809751945646080";"entretenimiento"
"19667";"145809751945646080";"tecnología"
"19668";"145810899008110592";"entretenimiento"
"19669";"145811227854114816";"otros"
"19670";"145831956251295746";"música"
"19671";"145831956251295746";"otros"
"19672";"145834425970728960";"otros"
"19673";"145834425970728960";"entretenimiento"
"19675";"145851976419250177";"deportes"
"19674";"145851976419250177";"política"
"19676";"145866760002875392";"fútbol"
"19677";"145866760002875392";"otros"
"19678";"145869000285495297";"música"
"19679";"145869000285495297";"entretenimiento"
"19681";"145872299311108097";"otros"
"19680";"145872299311108097";"entretenimiento"
"19682";"145889760240603136";"música"
"19683";"145889760240603136";"otros"
"19684";"145891861523988481";"otros"
"19685";"145892508818350080";"música"
"19686";"145892508818350080";"otros"
"19688";"145896381213720576";"entretenimiento"
"19687";"145896381213720576";"fútbol"
"19689";"145920542459969536";"otros"
"19690";"145920542459969536";"entretenimiento"
"19691";"145949843343421440";"política"
"19692";"145949843343421440";"economía"
"19693";"145967478487527425";"deportes"
"19694";"145967621622333440";"deportes"
"19695";"145968552422289409";"entretenimiento"
"19696";"145968552422289409";"otros"
"19697";"145973499209588736";"política"
"19698";"145973499209588736";"tecnología"
"19699";"145974997096218624";"otros"
"19700";"145982946388606976";"política"
"19701";"145984627948007424";"otros"
"19702";"145989951312494592";"música"
"19703";"145990222381989888";"música"
"19704";"145994351967879171";"música"
"19705";"145994351967879171";"otros"
"19706";"145998477640478720";"otros"
"19708";"145998840057700353";"otros"
"19707";"145998840057700353";"entretenimiento"
"19709";"146030751677288448";"entretenimiento"
"19710";"146068978261962752";"música"
"19711";"146068978261962752";"entretenimiento"
"19712";"146111403097473024";"economía"
"19713";"146118611684175872";"entretenimiento"
"19714";"146118611684175872";"literatura"
"19715";"146122471899267072";"entretenimiento"
"19716";"146123471737470976";"entretenimiento"
"19717";"146125946011926528";"cine"
"19718";"146125946011926528";"otros"
"19719";"146133560477233152";"entretenimiento"
"19720";"146133560477233152";"cine"
"19721";"146145268998479872";"literatura"
"19722";"146151472973889537";"música"
"19723";"146159986517622784";"política"
"19724";"146162326796640256";"otros"
"19725";"146167688585166849";"política"
"19726";"146169163117903874";"política"
"19727";"146174815835930625";"política"
"19728";"146174846710194176";"política"
"19729";"146178129889738752";"política"
"19730";"146178353425162240";"política"
"19731";"146179341796114432";"otros"
"19732";"146179341796114432";"entretenimiento"
"19733";"146187281160617984";"política"
"19734";"146187507002908672";"política"
"19735";"146189931738435584";"otros"
"19736";"146191445156569088";"política"
"19737";"146191685955747840";"política"
"19738";"146193641222840320";"política"
"19739";"146193641222840320";"entretenimiento"
"19740";"146194489449521152";"otros"
"19741";"146195342734532608";"política"
"19742";"146195374774824962";"política"
"19743";"146196700237799424";"política"
"19744";"146197871971143680";"economía"
"19745";"146207996400242688";"política"
"19746";"146223839146278912";"tecnología"
"19747";"146223839146278912";"política"
"19748";"146236036245229568";"música"
"19749";"146236036245229568";"otros"
"19750";"146244371778514944";"entretenimiento"
"19751";"146244707754848257";"entretenimiento"
"19752";"146245789209997312";"literatura"
"19753";"146245789209997312";"entretenimiento"
"19754";"146260014196211712";"entretenimiento"
"19755";"146260014196211712";"economía"
"19756";"146265525473910784";"política"
"19758";"146266426238443520";"otros"
"19757";"146266426238443520";"cine"
"19759";"146266455544045568";"otros"
"19760";"146269301488365570";"otros"
"19761";"146272181993738240";"otros"
"19762";"146272181993738240";"fútbol"
"19763";"146272693904351232";"otros"
"19764";"146273091222388736";"política"
"19765";"146290026374901761";"política"
"19766";"146292900416856065";"otros"
"19767";"146295142733721600";"política"
"19768";"146295817190391808";"entretenimiento"
"19769";"146304862001438721";"política"
"19770";"146308667283734528";"entretenimiento"
"19771";"146316610565713920";"política"
"19772";"146327646383505408";"entretenimiento"
"19773";"146346620370423809";"economía"
"19774";"146347181207597057";"música"
"19775";"146351141372952576";"política"
"19776";"146353197211074561";"entretenimiento"
"19777";"146353197211074561";"otros"
"19778";"146359195149664257";"entretenimiento"
"19779";"146376963672645632";"fútbol"
"19780";"146381625024974849";"otros"
"19781";"146411085426208768";"música"
"19782";"146466906424082432";"otros"
"19783";"146471403909169152";"economía"
"19784";"146471403909169152";"política"
"19785";"146472290626961408";"política"
"19786";"146483958421536768";"entretenimiento"
"19787";"146483958421536768";"otros"
"19788";"146486933286170625";"entretenimiento"
"19789";"146487308114329601";"entretenimiento"
"19790";"146488051022045184";"política"
"19792";"146491990371078144";"entretenimiento"
"19791";"146491990371078144";"política"
"19793";"146498715794935808";"política"
"19794";"146498715794935808";"entretenimiento"
"19795";"146503011869532160";"política"
"19796";"146503759193849856";"otros"
"19797";"146503759193849856";"entretenimiento"
"19799";"146504703386198016";"entretenimiento"
"19798";"146504703386198016";"otros"
"19800";"146505516489781248";"otros"
"19801";"146505516489781248";"entretenimiento"
"19802";"146507791945830400";"política"
"19803";"146516029458223105";"política"
"19804";"146516351207481344";"política"
"19805";"146517626745655296";"política"
"19806";"146518091839447040";"política"
"19807";"146518091839447040";"entretenimiento"
"19808";"146518709379411968";"política"
"19809";"146521231410204672";"entretenimiento"
"19810";"146521231410204672";"otros"
"19811";"146523010084515840";"política"
"19812";"146523741898280960";"política"
"19813";"146524481219870720";"política"
"19814";"146524481219870720";"entretenimiento"
"19815";"146527542386499584";"política"
"19816";"146528745069621248";"política"
"19817";"146531191225458688";"política"
"19818";"146534688926859264";"política"
"19819";"146554948899962881";"economía"
"19820";"146562031624003585";"otros"
"19821";"146566740917227520";"otros"
"19822";"146566740917227520";"entretenimiento"
"19823";"146569981004496898";"política"
"19824";"146571111172280321";"política"
"19825";"146571173487067137";"economía"
"19826";"146574756265725952";"política"
"19827";"146575965156413440";"política"
"19828";"146575965156413440";"entretenimiento"
"19829";"146577325088190464";"otros"
"19830";"146580721048371201";"música"
"19831";"146580721048371201";"otros"
"19832";"146610083592273920";"política"
"19833";"146611698000863234";"música"
"19835";"146613633324027904";"otros"
"19834";"146613633324027904";"música"
"19836";"146614627873202176";"música"
"19837";"146614627873202176";"otros"
"19838";"146616461182509056";"otros"
"19839";"146616461182509056";"música"
"19841";"146616883444060162";"música"
"19840";"146616883444060162";"otros"
"19842";"146616966885556224";"política"
"19843";"146618691566583809";"otros"
"19844";"146623343406219264";"otros"
"19845";"146623343406219264";"música"
"19847";"146624031666352128";"entretenimiento"
"19846";"146624031666352128";"otros"
"19848";"146624716529086466";"política"
"19849";"146627689233657856";"entretenimiento"
"19850";"146628340500013056";"política"
"19851";"146648357773905920";"política"
"19852";"146655818627022851";"política"
"19853";"146658814844866560";"música"
"19854";"146660026591875072";"música"
"19855";"146663729621237760";"economía"
"19856";"146667119692623873";"política"
"19857";"146668877328293889";"economía"
"19858";"146668877328293889";"cine"
"19859";"146671741081616385";"otros"
"19860";"146673767467327489";"política"
"19861";"146677386220552192";"política"
"19863";"146681617421836290";"entretenimiento"
"19862";"146681617421836290";"música"
"19864";"146685027332276224";"música"
"19865";"146691362866204674";"entretenimiento"
"19866";"146696113699819521";"entretenimiento"
"19867";"146696113699819521";"política"
"19869";"146706035783110656";"entretenimiento"
"19868";"146706035783110656";"otros"
"19870";"146706977739902978";"otros"
"19871";"146706977739902978";"entretenimiento"
"19872";"146708062613409792";"política"
"19873";"146708062613409792";"entretenimiento"
"19874";"146708963617017857";"política"
"19875";"146713735342460929";"otros"
"19876";"146715342750744577";"otros"
"19877";"146715342750744577";"entretenimiento"
"19878";"146716381327536128";"política"
"19879";"146718946911981568";"política"
"19880";"146728247760142337";"política"
"19882";"146729467061088256";"entretenimiento"
"19881";"146729467061088256";"política"
"19883";"146743672338251776";"economía"
"19884";"146745848498368512";"otros"
"19885";"146786607071105024";"tecnología"
"19886";"146786607071105024";"política"
"19887";"146830538785828864";"otros"
"19889";"146844241614741505";"economía"
"19888";"146844241614741505";"otros"
"19890";"146846756720750592";"entretenimiento"
"19891";"146851495751581698";"otros"
"19892";"146853723757494272";"música"
"19893";"146853723757494272";"otros"
"19894";"146856106583523328";"entretenimiento"
"19895";"146856357423874048";"otros"
"19896";"146861504019431425";"otros"
"19897";"146861504019431425";"entretenimiento"
"19898";"146864329948536832";"otros"
"19899";"146874745982423040";"entretenimiento"
"19900";"146874987284926464";"política"
"19901";"146881344406953984";"política"
"19903";"146883862394454016";"entretenimiento"
"19902";"146883862394454016";"política"
"19904";"146885375812579329";"entretenimiento"
"19905";"146894681857462272";"política"
"19906";"146897768819077120";"otros"
"19907";"146897959894790145";"economía"
"19908";"146899349480280064";"otros"
"19909";"146913067740053505";"política"
"19910";"146915426906013696";"entretenimiento"
"19911";"146915426906013696";"economía"
"19912";"146918553763852288";"política"
"19913";"146927962221068288";"política"
"19914";"146928059734441984";"política"
"19915";"146930939023462402";"política"
"19916";"146934633911693312";"política"
"19917";"146945500296396800";"entretenimiento"
"19918";"146946515884195840";"entretenimiento"
"19919";"146946515884195840";"otros"
"19920";"146969653577654272";"política"
"19921";"146969653577654272";"entretenimiento"
"19923";"146975420435267584";"otros"
"19922";"146975420435267584";"entretenimiento"
"19924";"146976357497315328";"entretenimiento"
"19925";"146980953145880576";"economía"
"19926";"146983591799300097";"entretenimiento"
